value,location_id,date,province_id,autonomous_region_id,age_range,sex,_id
2351,39075,2009-03,39,6,>=45,M,39075/2009-03-01/>=45/M
586,39075,2009-03,39,6,25-44,H,39075/2009-03-01/25-44/H
3437,39075,2009-03,39,6,>=45,H,39075/2009-03-01/>=45/H
777,39075,2009-03,39,6,<25,H,39075/2009-03-01/<25/H
3027,39075,2009-03,39,6,<25,M,39075/2009-03-01/<25/M
2091,39075,2009-04,39,6,25-44,M,39075/2009-04-01/25-44/M
3506,39075,2009-04,39,6,>=45,H,39075/2009-04-01/>=45/H
786,39075,2009-04,39,6,<25,H,39075/2009-04-01/<25/H
574,39075,2009-04,39,6,25-44,H,39075/2009-04-01/25-44/H
3000,39075,2009-04,39,6,<25,M,39075/2009-04-01/<25/M
2360,39075,2009-04,39,6,>=45,M,39075/2009-04-01/>=45/M
576,39075,2009-05,39,6,25-44,H,39075/2009-05-01/25-44/H
2338,39075,2009-05,39,6,>=45,M,39075/2009-05-01/>=45/M
724,39075,2009-05,39,6,<25,H,39075/2009-05-01/<25/H
2076,39075,2009-05,39,6,25-44,M,39075/2009-05-01/25-44/M
3477,39075,2009-05,39,6,>=45,H,39075/2009-05-01/>=45/H
2879,39075,2009-05,39,6,<25,M,39075/2009-05-01/<25/M
3264,39075,2009-06,39,6,>=45,H,39075/2009-06-01/>=45/H
2267,39075,2009-06,39,6,>=45,M,39075/2009-06-01/>=45/M
475,39075,2009-06,39,6,25-44,H,39075/2009-06-01/25-44/H
2054,39075,2009-06,39,6,25-44,M,39075/2009-06-01/25-44/M
649,39075,2009-06,39,6,<25,H,39075/2009-06-01/<25/H
2766,39075,2009-06,39,6,<25,M,39075/2009-06-01/<25/M
2630,39075,2009-07,39,6,<25,M,39075/2009-07-01/<25/M
2043,39075,2009-07,39,6,25-44,M,39075/2009-07-01/25-44/M
475,39075,2009-07,39,6,25-44,H,39075/2009-07-01/25-44/H
3166,39075,2009-07,39,6,>=45,H,39075/2009-07-01/>=45/H
636,39075,2009-07,39,6,<25,H,39075/2009-07-01/<25/H
2209,39075,2009-07,39,6,>=45,M,39075/2009-07-01/>=45/M
3256,39075,2009-08,39,6,>=45,H,39075/2009-08-01/>=45/H
494,39075,2009-08,39,6,25-44,H,39075/2009-08-01/25-44/H
2748,39075,2009-08,39,6,<25,M,39075/2009-08-01/<25/M
